Month (text),GMT,London Mean Roadside Nitric Oxide (ug/m3),London Mean Roadside Nitrogen Dioxide (ug/m3),London Mean Roadside Oxides of Nitrogen (ug/m3),London Mean Roadside Ozone (ug/m3),London Mean Roadside PM10 Particulate (ug/m3),London Mean Roadside PM2.5 Particulate (ug/m3),London Mean Roadside Sulphur Dioxide (ug/m3),London Mean Background Nitric Oxide (ug/m3),London Mean Background Nitrogen Dioxide (ug/m3),London Mean Background Oxides of Nitrogen (ug/m3),London Mean Background Ozone (ug/m3),London Mean Background PM10 Particulate (ug/m3),London Mean Background PM2.5 Particulate (ug/m3),London Mean Background Sulphur Dioxide (ug/m3)
2018-12-01,00:00,34.512903225806454,40.300000000000004,93.19354838709677,25.793548387096774,18.103225806451615,11.870967741935484,1.025,15.448387096774194,29.26774193548387,52.774193548387096,31.535483870967727,15.374193548387096,10.66774193548387,2.3161290322580648
2018-12-01,01:00,27.11290322580645,33.81935483870967,75.3741935483871,29.580645161290334,16.899999999999995,10.796774193548389,1.12,13.858064516129033,25.54516129032258,46.74193548387098,33.83548387096773,15.054838709677417,10.138709677419353,3.4774193548387093
2018-12-01,02:00,22.438709677419357,28.983870967741936,63.383870967741935,29.229032258064517,16.161290322580644,10.632258064516128,1.1320000000000001,12.558064516129031,22.422580645161293,41.45806451612904,35.06774193548386,14.651612903225805,9.951612903225804,1.5903225806451613
2018-12-01,03:00,20.164516129032258,26.490322580645167,57.38709677419355,30.4516129032258,15.609677419354837,10.264516129032257,1.2625000000000004,11.774193548387098,20.058064516129026,37.74838709677419,36.40645161290324,14.374193548387094,9.529032258064518,1.632258064516129
2018-12-01,04:00,21.470967741935482,27.2,60.090322580645164,29.05806451612903,15.877419354838711,10.019354838709678,1.2120000000000002,11.590322580645163,20.16451612903226,37.59032258064517,35.91290322580645,14.39032258064516,9.577419354838709,1.5225806451612904
2018-12-01,05:00,29.538709677419355,31.57096774193548,76.85161290322583,26.196774193548386,16.251612903225805,10.151612903225805,1.696,13.019354838709681,22.36129032258065,41.26129032258065,33.76129032258065,13.899999999999999,9.509677419354837,1.5322580645161292
2018-12-01,06:00,47.34516129032258,40.92258064516128,113.49354838709678,22.283870967741937,17.196774193548382,10.483870967741938,3.036,18.65483870967742,27.961290322580645,54.24516129032257,30.403225806451616,13.76451612903226,9.20967741935484,1.7774193548387098
2018-12-01,07:00,65.358064516129,49.10967741935484,149.29677419354843,19.57741935483871,18.570967741935483,11.003225806451614,3.3360000000000007,25.293548387096777,33.68709677419355,70.59354838709675,26.764516129032252,13.983870967741934,9.593548387096774,1.8870967741935487
2018-12-01,08:00,76.7516129032258,53.00967741935483,170.67741935483875,19.016129032258064,19.887096774193544,11.164516129032256,3.8399999999999994,32.835483870967735,36.95161290322581,85.62580645161287,25.748387096774195,14.774193548387098,9.299999999999999,2.158064516129032
2018-12-01,09:00,79.13548387096773,54.57741935483871,175.89999999999998,19.44516129032258,21.29032258064516,11.716129032258065,3.84,33.52903225806451,37.21290322580645,87.2548387096774,26.2258064516129,16.096774193548388,9.522580645161291,2.270967741935484
